,entry_type,rtype,name,url,contact,description,geoextent,geocoverage,geocoverage_codes,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,technology,uptake,cross_border,cross_sector,type,status,id
340,case,Service,Inspection bridges with drones,https://datascienceinitiative.eu/wp-content/uploads/2020/05/DSI-AIBinnenDeOverheid.pdf,,"Instead of human capacity, drones are used to inspect bridges and viaducts.",National,Netherlands,NL,Rijkswaterstaat and market parties,Central-Government,2020,,,Economic affairs,Transport,Artificial Intelligence,,,,Supporting inspection processes,Pilot,340
341,case,Service,Intelligent traffic control systems (I-VRI's) - Better traffic flow ,https://www.talking-traffic.com/nl/partner-worden-bij-talking-traffic/clusters-en-expertise/intelligente-vri-s,,"The province of Gelderland has replaced the existing traffic lights with intelligent traffic control systems (iVRIs) at 8 intersections in Arnhem and Velp. These new installations ensure better flow. The iVRI's use mobile data from road users. For example, buses and emergency services can be given priority when passing through an intersection. In addition, the road user receives up-to-date information about the fastest route through the city and advice on speed. This information allows road users to tailor their traffic behaviour to the current situation. This results in a better flow.",Regional,Netherlands,NL,Province of Gelderland,Local Government,2016,,,Economic affairs,Transport,Artificial Intelligence,,,,Service integration (various),In development,341
342,case,Service,Use of scan cars for underground containers - Determining type of waste ,https://www.digitaleoverheid.nl/overzicht-van-alle-onderwerpen/nieuwe-technologieen-data-en-ethiek/het-led/toolbox/aan-de-slag-datagedreven-werken-in-de-praktijk/ ,,"By means of scan cars that drive around The Hague, photos can be taken of underground containers (ORAC's). Thanks to AI, it is determined what type of waste there is. ",Local,Netherlands,NL,Municipality of The Hague,Local Government,2020,,,Housing and community amenities,Housing and community amenities n.e.c.,Artificial Intelligence,,,,Smart Recognition processes,In development,342
343,case,Service,iRN_iColumbo,https://docplayer.nl/4918688-Projectplan-verduurzaming-irn-icolumbo.html,,"A service within the Internet Research &Investigation Network (iRN) of the police where the Internet can be methodically and automatically searched for suspicious material.  TK 2013-2014, 26 643, nr. 298, p. 16",National,Netherlands,NL,Dutch Police,Central-Government,2011,,,Public order and safety,Police Services,Artificial Intelligence,,,,Predictive enforcement processes,In development,343
344,case,Service,Artificial Intelligence Knowledge System for the judiciary searches for similar lawsuits,https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/kamerstukken/2018/12/19/ek-artificiele-intelligentie-en-algoritmen-in-de-rechtspleging/ek-artificiele-intelligentie-en-algoritmen-in-de-rechtspleging.pdf https://www.tweedekamer.nl/kamerstukken/kamervragen/detail?id=2020Z03232&did=2020D11984,,Knowledge system searches for similar lawsuits using entered text and gives the user the top 10 most similar lawsuits,Regional,Netherlands,NL,District Court of East Brabant,Local Government,2018,,,Public order and safety,Law courts,Artificial Intelligence,,,,Internal support processes,Pilot,344
345,case,Service,LAA - Address quality BRP,"https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/rapporten/2016/03/21/rapport-landelijke-aanpak-adreskwaliteit/rapport-landelijke-aanpak-adreskwaliteit.pdf
https://www.ictu.nl/projecten/landelijke-aanpak-adreskwaliteit",,Data analysis used to achieve pattern recognition and to search for incorrect addressing based on this. The aim is to put the BRP in order and ultimately contribute to the fight against fraud.,National,Netherlands,NL,Ministry of Interior,Central-Government,2018,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Predictive enforcement processes,In development,345
346,case,Service,Using smart algorithms to map whether building or demolishing certain homes improves liveability,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,,The Municipality of Breda uses smart algorithms to investigate whether building or demolishing certain types of homes improves the quality of life.,Local,Netherlands,NL,Municipality of Breda,Local Government,2021,,,Housing and community amenities,Housing development.,Artificial Intelligence,,,,Prediction and planning ,In development,346
347,case,Service,Tackling undermining using AI,https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,,"With a mobile app and web portal, Milvum can pass on suspicions of subversion (such as illegal prostitution or drug production) directly to the municipality. The addition of AI functionality (e.g. big data analysis) will take the platform one step further; for example by better identifying, categorising and prioritising subversive crime.",Local,Netherlands,NL,Milvum B.V.,Private sector,2021,,,Public order and safety,Public order and safety n.e.c.,Artificial Intelligence,,,,Predictive enforcement processes,Implemented,347
348,case,Service,Detecting 'unknown' companies with environmental risk,https://www.digitaleoverheid.nl/nieuws/data-project-eindhoven-maakt-onvindbare-bedrijven-vindbaar/,,Mapping unknown companies that pose a potential environmental risk by making smart use of data.,Local,Netherlands,NL,Municipality of Eindhoven,Local Government,2017,,,Economic affairs,"General economic, commercial and labour affair",Artificial Intelligence,,,,Predictive enforcement processes,Implemented,348
349,case,Service,Detecting welfare fraud - Prediction of the likelihood of unlawful behavior,https://www.gemeentennl.nl/digitaal/inkoop-van-ai-door-gemeenten-3x-transparanter/en    https://www.nissewaard.nl/werk-en-inkomen/werk-en-inkomen_to/voorspelmodel-bijstandsfraude.htm en Gemeente Nissewaard. (z.d.). Infographic hoe controleren we de uitvoering van de bijstand? Opgevraagd van: https://www.nissewaard.nl/contact/contact_to/de-avg-in-nissewaard.htm ,,"The municipality of Nissewaard uses AI to detect welfare fraud. The algorithm maps patterns in data that indicate an increased risk of wrongdoing. Based on these patterns, the algorithm predicts the likelihood of unlawful behavior for each client. ",Local,Netherlands,NL,"Totta Datalab, municipality of Nissewaard, municipality of Brielle",Local Government,2017,,,Social protection,Social protection n.e.c.,Artificial Intelligence,,,,Predictive enforcement processes,In development,349
350,case,Service,Detecting welfare fraud in the municipality of Deventer and Goirle,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,,"Generating risk profiles of welfare recipients. On the basis of the risk score, it is determined whether a dossier is additionally investigated.",Local,Netherlands,NL,"Municipality of Deventer, Municipality of Goirle",Local Government,2021,,,Social protection,Social protection n.e.c.,Artificial Intelligence,,,,Predictive enforcement processes,Pilot,350
351,case,Service,Detection of crime and subversion,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,,The municipality of Leudal uses algorithms to detect crime and subversion: in buildings where the paperwork smacks of suspicious cases. ,Local,Netherlands,NL,Municipality of Leudal,Local Government,2021,,,Public order and safety,Public order and safety n.e.c.,Artificial Intelligence,,,,Supporting inspection processes,In development,351
352,case,Service,Detection of crime and subversion in the municipality of Dronten,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,,Dronten Municipality has an experiment under way to investigate how algorithms can be used to detect subversive crime,Local,Netherlands,NL,Municipality of Dronten,Local Government,2021,,,Public order and safety,Public order and safety n.e.c.,Artificial Intelligence,,,,Predictive enforcement processes,Pilot,352
353,case,Service,Detection of crime and subversion in the municipality of Maastricht,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,,The municipality of Maastricht uses algorithms to detect crime and subversion: in buildings where the paperwork smacks of suspicious cases. ,Local,Netherlands,NL,Municipality of Maastricht,Local Government,2021,,,Public order and safety,Public order and safety n.e.c.,Artificial Intelligence,,,,Predictive enforcement processes,In development,353
354,case,Service,Detection of crime and subversion in the municipality of Nederweert,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,,The municipality of Nederweert uses algorithms to detect crime and subversion: in buildings where the paperwork smacks of suspicious cases. ,Local,Netherlands,NL,Municipality of Nederweert,Local Government,2021,,,Public order and safety,Public order and safety n.e.c.,Artificial Intelligence,,,,Predictive enforcement processes,In development,354
355,case,Service,Parking control in various Dutch municipalities - Parking control by means of scan cars,https://algoritmeregister.amsterdam.nl/parkeercontrole/,,Parking control by means of scan cars. The scan cars are equipped with cameras and drive past parking spaces in the city. The cameras capture car license plates and use an image recognition algorithm to identify license plates.,Local,Netherlands,NL,"Egis Parking Services B.V., Municipality of Amsterdam (Parking, Team Analysis & Advice), the Hague, Rotterdam and Utrecht ",Private sector,2021,,,Economic affairs,Transport,Artificial Intelligence,,,,Smart Recognition processes,In development,355
356,case,Service,Passer-by count,https://www.intemo.com/passantenstromen-in-beeld/,,The municipality of Nijmegen uses sensors to visual monitor the hustle and bustle of the city and the economic development of the centre.,Local,Netherlands,NL,"Intemo, Municipality of Nijmegen",Local Government,2021,,,Economic affairs,Economic affairs n.e.c,Artificial Intelligence,,,,Smart Recognition processes,In development,356
357,case,Service,Analyzing data to help people on welfare get back to work for Social Assistance in The Hague ,https://datascienceinitiative.eu/wp-content/uploads/2020/05/DSI-AIBinnenDeOverheid.pdf,,Analyzing data to help people on welfare get back to work. The system finds people at an early stage so that they can be helped immediately on their way. ,Local,Netherlands,NL,Municipality of The Hague,Local Government,2020,,,Social protection,Unemployment.,Artificial Intelligence,,,,Information analysis processes,Pilot,357
358,case,Service,AviaTor - Pilot detection child abuse,"https://www.inhope.org/EN/aviator
 https://www.ziuz.com/nl/nieuws/aviator-project-de-volgende-fase/",,"AviaTor, which stands for Augmented Visual Intelligence and Targeted Online Research,was developed from a research project into a working prototype in just 12 months. By using expert insight gained from extensive interviews with the Dutch and Belgian police, it was possible to establish how to best process NCMEC referrals. The AviaTor Project is funded by the European Union's Internal Security Fund – Police. ",National,Netherlands,NL,"National Police, Ziuz",Central-Government,2021,,,Public order and safety,Police Services,Artificial Intelligence,,,,Supporting inspection processes,In development,358
359,case,Service,Pilot Youth Policy Rotterdam - Influencing factors socio-emotional development of young people,https://www.tno.nl/nl/aandachtsgebieden/strategische-analyses-beleid/expertisegroepen/strategy-policy/het-policy-lab-datagedreven-beleidsontwikkeling/,,"By linking datasets and using a combination of statistical methods and machine learning, we explore which factors determine the socio-emotional development of young people.",Local,Netherlands,NL,"Municipality of Rotterdam, TNO and BZK",Local Government,2019,,,Social protection,Social protection n.e.c.,Artificial Intelligence,,,,Prediction and planning ,Pilot,359
360,case,Service,Project Jurisprudence Robot -  AI tool to support prosecutors and investigators,"https://www.rechtspraak.nl/SiteCollectionDocuments/rechtstreeks-2019-02.pdf
https://www.lexiq.nl/clients",,LexIQ has developed a Jurisprudence Robot for the Public Prosecution Service. This tool supports prosecutors and investigators in their day-to-day work,National,Netherlands,NL,"LexIQ, Public Prosecutor's Office",Private sector,2019,,,Public order and safety,Law courts,Artificial Intelligence,,,,Service personalisation (various),In development,360
361,case,Service,VIALIS Real-time incident detection,https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,,The aim of this project is to prevent traffic problems based on urban traffic data. ,Local,Netherlands,NL,Vialis B.V.,Private sector,2021,,,Economic affairs,Transport,Artificial Intelligence,,,,Predictive enforcement processes,Pilot,361
362,case,Service,Rain radar Rijnmond - Prediction of rain to prevent flooding and damage,"http://urbanbigdata.nl/big-data/voorbeelden/21/big-data-in-rotterdam
https://www.rotterdam.nl/wonen-leven/regenradar/",,The Rijnmond rain radar measures and predicts precipitation in the region very locally. This helps prevent flooding and damage.,Local,Netherlands,NL,"Municipality of Rotterdam, TUDelft",Local Government,2021,,,Defence,Civil defence.,Artificial Intelligence,,,,Prediction and planning ,Pilot,362
363,case,Service,Remote sensing for monitoring nature reserves on the Frisian Wadden Islands,https://www.mdpi.com/2072-4292/10/7/1085/htm,,The aim of this project was to test the feasibility of models that monitor vegetation with annual frequency based on satellite data. These models are optimized by means of machine learning techniques. ,Regional,Netherlands,NL,"Province of Friesland, Ilionix",Local Government,2018,,,Environmental protection,Environmental protection n.e.c.,Artificial Intelligence,,,,Management of auditing and logging,Pilot,363
364,case,Service,Rijkswaterstaat vital assets - Predictive maintenance on bridges,https://datascienceinitiative.eu/wp-content/uploads/2020/05/DSI-AIBinnenDeOverheid.pdf,,Using data to predict when maintenance should be carried out on bridges. ,National,Netherlands,NL,Rijkswaterstaat and Dutch Analytics,Central-Government,2020,,,Economic affairs,Transport,Artificial Intelligence,,,,Predictive enforcement processes,In development,364
365,case,Service,Scan car for checking group formation and complying with corona measures,https://nos.nl/nieuwsuur/artikel/2355542-hoe-algoritmes-de-stad-besturen.html,,The municipality of Rotterdam has used a scan car to check for group formation and compliance with the corona measures,Local,Netherlands,NL,Municipality of Rotterdam,Local Government,2020,,,Health,Health n.e.c.,Artificial Intelligence,,,,Smart Recognition processes,Not in use anymore,365
366,case,Service,Sia - Online notification system of the municipality of Amsterdam,https://algoritmeregister.amsterdam.nl/meldingen-openbare-ruimte/,,"SIA is an online notification system of the municipality of Amsterdam. Reports can be made in the following situations: If something needs to be made or cleaned up on the street or in a park, in case of a dangerous traffic situation or nuisance of persons and restaurants.  ",Local,Netherlands,NL,Municipality of Amsterdam,Local Government,2020,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Service personalisation (various),Implemented,366
367,case,Service,Smart Cameras - Analyzing road situations,https://www.verkeersnet.nl/smart-mobility/22251/rijkswaterstaat-test-slimme-cameras-om-spitsstroken-automatisch-te-kunnen-openen/,,"Smart cameras that can 'read' the situation on the road, making opening and closing rush-hour lanes faster, easier and safer.",National,Netherlands,NL,"Rijkswaterstaat, Innovation Centre and ViNotion",Central-Government,2017,,,Economic affairs,Transport,Artificial Intelligence,,,,Smart Recognition processes,Pilot,367
368,case,Service,Smart enforcement cameras - Enforcement of drivers driving through red road crosses,https://www.rijkswaterstaat.nl/nieuws/2019/05/proef-handhaving-negeren-rood-kruis-met-slimme-camera.aspx,,"In order to detect road users who ignore red crosses, and to reduce the number of violations, the Public Prosecutor's Office and Rijkswaterstaat have started a trial with enforcement using smart cameras along the A28 motorway near Amersfoort.",National,Netherlands,NL,Public Prosecutor's Office and Rijkswaterstaat,Central-Government,2019,,,Public order and safety,Police Services,Artificial Intelligence,,,,Smart Recognition processes,Implemented,368
369,case,Service,Smart decision aid - Determining if a case is a scam or not,https://www.politie.nl/nieuws/2019/september/26/sneller-duidelijkheid-bij-aangifte-internetoplichting.html,," The National Internet Reporting Centre receives 42,000 reports of buying and selling fraud every year. In about 10,000 cases, after studying a police officer, it turns out that this is not a criminal offence. The 'smart decision aid' helps determine whether this is a scam and links this directly back to the declarant. The decision aid also offers an action perspective if it turns out that they have not been scammed.",National,Netherlands,NL,National Police Lab Artificial Intelligence,Central-Government,2019,,,Public order and safety,Police Services,Artificial Intelligence,,,,Predictive enforcement processes,In development,369
370,case,Service,Smart lampposts for combating burglaries - Detection of suspicious movements and audio,"https://nos.nl/nieuwsuur/artikel/2355542-hoe-algoritmes-de-stad-besturen.html
https://www.youtube.com/watch?v=gJDA4t6lIgY&feature=youtu.be",,The municipality of Rotterdam has installed smart lampposts in the Lombardijen district to combat burglaries. Sensors record suspicious movements and microphones hear if a window is being tapped. ,Local,Netherlands,NL,Municipality of Rotterdam,Local Government,2020,,,Public order and safety,Police Services,Artificial Intelligence,,,,Smart Recognition processes,Pilot,370
371,case,Service,Smart sensor waste containers,https://www.ad.nl/rotterdam/afvalcontainers-voorzien-van-slimme-sensor~af64633b/ en https://www.rijnmond.nl/nieuws/183535/Afvalcontainers-vergeten-te-melden-dat-ze-vol-zitten,,"Sensors are installed in waste containers to measure how full the bins are. The 'filling degree meter' transmits the position every hour. This information is used to look at when the container can best be emptied. Drivers can see on a tablet which route to take next. The system prevents waste from accumulating next to an overcrowded container, while at the same time saving the garbage men from rides to empty bins.",Local,Netherlands,NL,Municipality of Rotterdam,Local Government,2021,,,Economic affairs,Transport,Artificial Intelligence,,,,Internal primary processes,Pilot,371
372,case,Service,Amsterdam City Archive - Handwritten Text Recognition for eabling searches on old handwritten texts,https://nlaic.com/use-cases/aincient-en-partners-slimmer-doorzoeken-van-archieven-door-de-inzet-van-ai-en-crowdsourcing/ ,,"By means of Handwritten Text Recoginition (HTR), millions of scans of old handwritten texts from the Amsterdam City Archive can be automatically converted into transcriptions. This makes searching in complete texts possible. NLP is used. ",Local,Netherlands,NL,"Aincient B.V., Picturae, Sioux Technologies, Islands of Meaning, Amsterdam City Archive. ",Private sector,2021,,,General public services,General public services n.e.c.,Artificial Intelligence,,,,Internal primary processes,Implemented,372
373,case,Service,Smart Street Scan really sets up municipal services differently,https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,,"With Smart Street Scan, CentERdata wants to automatically scan the public space with sensor and camera technology. As a result, litter is quickly identified, classified and registered via image recognition. This can then streamline the service provided by the waste collection service, for example by optimizing sweeping routes.",National,Netherlands,NL,CentERdata,Private sector,2021,,,General public services,General services.,Artificial Intelligence,,,,Internal primary processes,Pilot,373
374,case,Service,Evaluation of enforcement policy Social Affairs and Employment opportunities,https://zoek.officielebekendmakingen.nl/blg-814167.pdf,,"Evaluation of enforcement policy
Social Affairs and Employment opportunities Policy photo and the implementation of the enforcement of the social security laws with regard to the duty to inform ",National,Netherlands,NL,"UWV, SVB, the Tax And Customs Administration, DUO, Justid, CJIB and RDW",Central-Government,2017,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Prediction and planning ,Pilot,374
375,case,Service,Speaker Tracking in Time and Space,https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,,"Spraaklab develops AI technology that can mostly disassemble and label the speech of the different speakers. This is useful for the police, for example, when analyzing audio recordings. This allows the police to work more efficiently and with higher quality, while different conversations than those of the subject do not need to be listened to as often. This ensures the privacy of citizens better.",National,Netherlands,NL,"Dutch Police, with Speech lab B.V.",Central-Government,2021,,,Public order and safety,Police Services,Artificial Intelligence,,,,Smart Recognition processes,Pilot,375
376,case,Service,Road safety model The Hague - Providing a risk score for all road sections and intersections,https://www.digitaleoverheid.nl/overzicht-van-alle-onderwerpen/nieuwe-technologieen-data-en-ethiek/het-led/toolbox/aan-de-slag-datagedreven-werken-in-de-praktijk/ ,,The model determines a risk score for all road sections and intersections in The Hague by means of machine learning and historical accidents. Recorded accidents are compared to a large dataset that describes the traffic situation at each intersection and road section by means of 250 characteristics. The model helps traffic experts identify unsafe traffic situations.,Local,Netherlands,NL,Municipality of The Hague,Local Government,2020,,,Economic affairs,Transport,Artificial Intelligence,,,,Prediction and planning ,In development,376
377,case,Service,Road safety model Rotterdam - Predictive model for road accidents,https://www.kennisnetwerkspv.nl/Meetinstrumenten/Overige-meetinstrumenten/Verkeersveiligheidsmodel-machine-learning ,,"In the Road Safety Model, data on historical accidents is linked to data about the road, traffic and the environment within the sphere of influence of the (accident) location. By using machine learning, a model with a predictive character is created.",Local,Netherlands,NL,"Municipality of Rotterdam, Welance.io, ",Local Government,2020,,,Economic affairs,Transport,Artificial Intelligence,,,,Prediction and planning ,In development,377
378,case,Service,Movable Traffic Predictor,https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,,"The aim of this project is to develop a new type of traffic forecaster, based on AI, that can predict traffic up to about 1 hour ahead.",National,Netherlands,NL,File radar B.V.,Private sector,2021,,,Economic affairs,Transport,Artificial Intelligence,,,,Prediction and planning ,Pilot,378
379,case,Service,Reference Index Recherche Onderzoeken en Subjecten - Detection of unusual transactions ,"https://wetten.overheid.nl/BWBR0041193/2018-07-25
https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/rapporten/2019/07/23/tk-bijlage-fiu-nederland-jaaroverzicht-2018/tk-bijlage-fiu-nederland-jaaroverzicht-2018.pdf ",,"Unusual transactions are compared by means of a partly automated process with the Referral Index Recherche Onderzoeken en Subjecten (VROS), a file managed by the National Police. Positive matches led to a suspicion of the unusual transactions in question. It is clear in these cases that the transaction in question is linked to an investigation.",National,Netherlands,NL,Financial Intelligence Unit Netherlands (FIU-Netherlands),Central-Government,2018,,,Public order and safety,Police Services,Artificial Intelligence,,,,Supporting inspection processes,In development,379
380,case,Service,Viralcom Egg - accidents in the water,https://www.smartcitydordrecht.nl/projecten-innovatiefonds/viralcom-egg ,,"A prototype that can detect accidents in the water through Artificial Intelligence and neural networks and communicate to the rescue services. The goal is to be able to detect drownings underwater so that water safety is increased. Viralcom would like to test the 'Egg' remotely, pattern recognition and drowning detection from the quay in Zwijndrecht to the other side of the quay in Dordrecht. ",Local,Netherlands,NL,Municipality of Dordrecht,Private sector,2018,,,Public order and safety,Public order and safety n.e.c.,Artificial Intelligence,,,,Smart Recognition processes,Pilot,380
381,case,Service,Predict which residents have a higher risk of care or debt problems (SyRI),https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,,"At least 25 municipalities use predictive systems and algorithms to, for example, detect welfare fraud, predict where potentially subversive crime takes place and to be able to help citizens with debts in time. Risk profiling is under a magnifying glass. In the childcare allowance affair, dual nationality appeared to be taken into account when drawing up risk profiles. Last year, the judge also dismissed the SyRI profiling system, partly because it was insufficiently transparent and therefore there was a risk of discrimination.",Local,Netherlands,NL,Municipality of Twenterand,Local Government,2021,,,Social protection,Social protection n.e.c.,Artificial Intelligence,,,,Prediction and planning ,In development,381
382,case,Service,Early school leavers in the municipality of Amersfoort - Estimation of students at risk ,https://nos.nl/artikel/2286848-overheid-gebruikt-op-grote-schaal-voorspellende-algoritmes-risico-op-discriminatie.html,,The municipality of Amersfoort and Dordrecht use an algorithm to estimate which students are at risk of becoming early school leavers. ,Local,Netherlands,NL,Municipality of Amersfoort and Dordrecht,Local Government,2019,,,Education,Education n.e.c.,Artificial Intelligence,,,,Information analysis processes,In development,382
383,case,Service,Wabo assistant - Automated environmental permits,https://www.digitaleoverheid.nl/overzicht-van-alle-onderwerpen/nieuwe-technologieen-data-en-ethiek/het-led/toolbox/aan-de-slag-datagedreven-werken-in-de-praktijk/ ,,The Environmental Law General Provisions Act (Wabo) regulates the environmental permit. The municipality of The Hague needs a more efficient intake of the Wabo permits. The municipality wants to automate some of the tasks and make them more efficient through AI. The type of AI used is NLP.,Local,Netherlands,NL,Municipality of The Hague,Local Government,2020,,,Environmental protection,Environmental protection n.e.c.,Artificial Intelligence,,,,Service integration (various),Pilot,383
384,case,Service,Water fields - purification system for rainwater,https://www.technologyrecord.com/Article/city-of-breda-optimises-water-use-with-the-internet-of-things-45082,,"The water fields are a purification system for rainwater. Rainwater from the district is collected, buffered and purified by a number of natural filters. Data on the operation of the system and on the amount of rainwater are used to optimize the operation and predict the supply of rainwater.",Local,Netherlands,NL,Municipality of Breda and I-SAGO,Local Government,2015,,,Environmental protection,Waste water management.,Artificial Intelligence,,,,Monitoring policy implementation,In development,384
385,case,Service,Water management SR - Predicting of water levels,https://hal24k.com/dimension,,how data science is used to solve complex problems at water treatment plants and management of water levels. A live demonstration of our data intelligence platform Dimension showed how real-time sensor data can be used for efficient and proactive maintenance.,Local,Netherlands,NL,Hoogheemraadschap de Stichtse Rijnlanden en Tauw en HAL24k,Private sector,2020,,,Environmental protection,Protection of biodiversity and landscape.,Artificial Intelligence,,,,Prediction and planning ,Implemented,385
386,case,Service,WIL Leak Current - Discover abuse and improper use of benefits,https://nos.nl/artikel/2286848-overheid-gebruikt-op-grote-schaal-voorspellende-algoritmes-risico-op-discriminatie.html,,"WIL Lekstroom is a collaboration between the municipality of Houten, Ijsselstein, Lopik, Nieuwegein and Vijfheerenland and uses algorithms to discover abuse and improper use of benefits. ",Local,Netherlands,NL,"Municipality of Houten, Ijsselstein, Lopik, Nieuwegein and Vijfheerenland",Local Government,2019,,,Social protection,Social protection n.e.c.,Artificial Intelligence,,,,Taking decisions on benefits  ,In development,386
387,case,Service,Nexus -  speech-operated expert system,https://www.brightlands.com/brightlands-smart-services-campus/evenement/nexus-using-voice-technology-information-exchange,,Nexus is a speech-operated expert system that provides the Community Police Officers with a detailed briefing of recent incidents in their neighbourhood. ,National,Netherlands,NL,"Brightlands Techruption, OU (CAROU), UM (BISS), Police NL (iLAB)",Private sector,2018,,,Public order and safety,Police Services,Artificial Intelligence,,,,Service integration (various),Pilot,387
388,case,Service,W(e). Service.Heerlen (WESH),https://www.brightlands.com/brightlands-smart-services-campus/subsidieprogramma-wesh,,"App for citizens, aimed at promoting citizen participation in the maintenance of the public environment. The app allows citizens to take on maintenance jobs. Once they have successfully completed this job, they will receive a financial reward that can be used by local SMEs",Local,Netherlands,NL,"Municipality of Heerlen, CBS, VNG, CoTown, Heerlen Mijn Stad, Brightlands",Private sector,2018,,,General public services,Public Services,Artificial Intelligence,,,,Engagement management,Pilot,388
389,case,Service,Poverty prevention - Identification of poverty and debt early,https://www.brightlands.com/brightlands-smart-services-campus/brightlands-techruption-use-case,,Digital solution to identify poverty and debt early and preventively by drawing conclusions from the data of different agencies without violating the privacy of the citizen (e..b g. multi-party computation),Local,Netherlands,NL,"Brightlands Techruption, CBS, municipality of Heerlen, CZ, Maastricht University, TNO",Private sector,2018,,,Social protection,Social protection n.e.c.,Artificial Intelligence,,,,Information analysis processes,Pilot,389
390,case,Service,INZNAK Project - Intelligent road signs for adaptive vehicle traffic control, https://ieeexplore.ieee.org/document/8883382,,"In response to the desire to improve road safety and vehicle traffic, the INZNAK project was proposed. This project aims to improve road traffic by developing and building a network of autonomous road signs. The use of intelligent road signs in road traffic will prevent the most common collisions on highways, resulting from speed not being adapted to weather conditions, the condition of the surface and damming? vehicles in the event of a need to brake suddenly. During the project, 3 types of signs will be developed: standing, hanging and mobile. Each sign will have a display that will present hints for drivers along with a suggested speed. Hints will be displayed in the form of text and image messages, which will warn or inform about current traffic disruptions. Thanks to the use of a string of signs placed along the road, drivers will be warned much faster about possible dangers on the road. This is due to the fact that each of the signs will communicate with the others, making it easier to manage traffic. The signs will communicate in LoraWan and LTE technology. LoraWan technology will enable the characters to communicate with each other. And LTE technology will be used to send and receive messages from the traffic control center. The use of two-level communication allows the solution to become independent from possible failures of the telecommunications infrastructure. To ensure the flow of up-to-date information to autonomous signs, it is necessary to equip them with a number of sensors, which will analyze the traffic in the vicinity of the sign on an ongoing basis. The experimental installations of intelligent signs will be equipped with sensors analyzing road traffic, such as: Doppler radar, lidar, acoustic probe, RGB camera, Bluetooth receiver. Due to the fact that changing weather conditions, such as: storms, blizzards, fog, black ice, are also a big risk on the road. A weather station will be installed in each sign, analyzing the current weather conditions around the sign. As a result, the resolution of weather measurements will be very high. The proposed approach to traffic analysis is based on the principles of multimodality, thanks to which it is possible to supplement each of the individual methods with a different one in a place where it better serves its purpose. Such a case can be observed e.g. at night, where standard vision cameras mainly capture car lights. The use of a lidar device in such conditions allows for proper detection of most vehicles. In the next chapter, individual modalities used in the conducted research will be presented.",Local,Poland,PL,Gdansk,Local Government,2019,,,Economic affairs,Transport,Artificial Intelligence,,,,Monitoring policy implementation,Pilot,390
391,case,Service,Virtual Clerk - Assistance with search for information , ,,"""Virtual Clerk"" is a system used to optimize the processes of servicing hundreds of thousands of beneficiaries. A modern and innovative tool that uses Artificial Intelligence, allowing you to intuitively search for information on the operation of the office and the procedures carried out by it. An important benefit offered by WU is the ease and speed in reaching the information sought and the availability of the service 24 hours a day, 7 days a week.",Local,Poland,PL,Chorzow,Local Government,2020,,,General public services,General public services n.e.c.,Artificial Intelligence,,,,Service personalisation (various),Implemented,391
392,case,Service,Intelligent Management Systems, ,,"The project consisted in the implementation of intelligent management systems in the buildings of the County Office, e.g. access control, external roller shutters, monitoring, management of water and electricity consumption, PIAPY, IT network, intelligent conference room, fire protection system.",Local,Poland,PL,Płońsk,Local Government,2020,,,General public services,General public services n.e.c.,Artificial Intelligence,,,,Internal support processes,Implemented,392
