#;ID;UCID;Name;Website;Description;Geographical extent;"Geographic coverage
Country";"Geographic coverage 
NUTS 2021";"Responsible
Organization";"Responsible 
Organization 
Category";"Functions of Government 
(COFOG level I)";"Functions of Government 
(COFOG level II)";Status;Start Year;End Year;2020 AI Classification (deprecated);Process Type;Application Type;Technology;CrossSector;CrossBorder;Uptake;Interaction;Use Type;Improved Public Service;Personalized Services;Public (citizen)-centered services;Increase quality of PSI and services;More responsive, efficient, and cost-effective public services;New services or channels;Improved Administration;Improved Administrative Efficiency;Cost-reduction;Responsiveness of government operation;Improved management of public resources;Increased quality of processes and systems;Better collaboration and better communication;Reduced or eliminate the risk of corruption and abuse of the law by public servants;Enabled greater fairness, honesty, equality;Open government capabilities;Increased transparency of public sector operations;Increased public participation in government actions and policy making;Improved public control and influence on government actions and policies;Source
91;200029;IPSO-200029;Protection and control of Secured Information by means of a privacy enhanced Dashboard;https://www.poseidon-h2020.eu/;The PoSeID-on†EU project develops and delivers an innovative intrinsically scalable platform, as an integrated and comprehensive solution aimed†to safeguard the rights of data subjects, exploiting††the cutting-edge technologies of Smart Contracts and Blockchain,† as well as support organizations in data management and processing while ensuring GDPR compliance. Ten participants from seven European countries constitute the PoSeIDon Consortium combining Public Administrations (Italian Ministero dellíEconomia e delle Finanze, Malta Information Technology Agency, Santander city), large industry, two SMEs, a research centre and a University.;Across Countries;European Union;EU;Ministero dellíEconomia e delle Finanze;Central-Government;General public services;General services.;Pilot;2020;†;;Public services and engagement;Data Sharing Management;Blockchain;No;Yes;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.poseidon-h2020.eu/
92;200030;IPSO-200030;Identity system to combat child trafficking;https://www.reuters.com/article/us-moldova-trafficking-technology-blockc/scan-on-exit-can-blockchain-save-moldovas-children-from-traffickers-idUSKBN1JF00J;Moldova launched a Proof of Concept of its digital identity project, working with the software company ConsenSys, which won a U.N. competition to design an identity system to combat child trafficking. Undocumented children are easy prey for traffickers using fake documents to transport them across borders to work in brothels or to sell their organs. ConsenSys aimed to create a secure, digital identity on a blockchain - or decentralized digital ledger shared by a network of computers - for Moldovan children, linking their personal identities with other family members. With the blockchain system, children attempting to cross the border would be asked to scan their eyes or fingerprints. A phone alert would notify their legal guardians, requiring at least two to approve the crossing.;National;Moldova;MD;Republic of Moldova;Central-Government;General public services;Police Services;Pilot;2018;†;;Public services and engagement;Authentication of self-sovereign Digital ID services;Blockchain;No;No;No;G2C;Immigration;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.reuters.com/article/us-moldova-trafficking-technology-blockc/scan-on-exit-can-blockchain-save-moldovas-children-from-traffickers-idUSKBN1JF00J
93;200031;IPSO-200031;Safeguarding the integrity and accessibility of digital government records of national archives;https://cointelegraph.com/news/blockchain-project-for-national-archives-reports-successful-trial-for-audio-visual-content;The project, named ARCHANGEL, involved the U.K. National Archives, the University of Surrey and the U.K. Open Data Institute, with funding from the The Engineering and Physical Sciences Research Council (EPSRC). Its trial deployment in the U.K., Estonia and Norway focused on leveraging blockchain and other technologies to tackle the long-term future of digital video archives. Researchers from Surrey Universityís Centre for Vision, Speech and Signal Processing (CVSSP) outlined their successes in developing a tamper-sensitive and future-accessible architecture for archiving audio-visual content. The system was then secured using a proof-of-authority blockchain that is distributed across multiple independent archives.;Across Countries;European Union;EU;The University of Surrey;Academic-Research;General public services;General services.;Pilot;2019;†;;Public services and engagement;Data Sharing Management;Blockchain;No;Yes;No;G2G;Process digitalisation;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;X;X;X;X;;;;Open government capabilities;X;;;https://cointelegraph.com/news/blockchain-project-for-national-archives-reports-successful-trial-for-audio-visual-content
94;200032;IPSO-200032;Blockchain Verified Certificates;https://www.coindesk.com/markets/2014/09/16/university-of-nicosia-issues-block-chain-verified-certificates/#:~:text=Certificates%20for%20a%20pioneering%20course,anyone%20to%20verify%20their%20authenticity.;The University of Nicosia has become the first university in the world to issue academic certificates whose authenticity can be verified through the Bitcoin blockchain. These certificates are being issued since 2015 to students who successfully completed or participated in DFIN-511 (Introduction to Digital Currencies), which is the first university course offered on the topic of cryptocurrency. Since 2017, UNIC started to issue all university diplomas on the Bitcoin blockchain using its own technology, which is developed as open source and has already been adopted by other universities and diploma issuers around the world.;National;Cyprus;CY;The University of Nicosia;Academic-Research;Education;R&D education.;Implemented;2015;†;;Enforcement;Certification and validation processes;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.coindesk.com/markets/2014/09/16/university-of-nicosia-issues-block-chain-verified-certificates/#:~:text=Certificates%20for%20a%20pioneering%20course,anyone%20to%20verify%20their%20authenticity.
95;200033;IPSO-200033;Monitoring exit poll results;https://www.bioinvestments.it/russia-blockchain-will-be-used-to-protect-2018-presidential-exit-poll-data/;A Russian polling research center used Blockchain to monitor exit poll results for its 2018 presidential elections. Russiaís Public Opinion Research Center (VTSIOM) partnered with local startup 2chain, which reportedly specializes in smart technology and ICO marketing consulting. The move marked one of the worldís first implementations of Blockchain in official voting. Together, VTSIOM and 2chain created a Blockchain database of information gathered from the polls, allowing the organization to circumvent DDoS attacks and other common malicious threats, especially on polling day itself.;National;Russia;RU;Russian Public Opinion Research Center (VTSIOM);Central-Government;General public services;General services.;Pilot;2018;†;;Public services and engagement;Governance and voting ;Blockchain;No;No;No;G2C;Governance and voting;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.bioinvestments.it/russia-blockchain-will-be-used-to-protect-2018-presidential-exit-poll-data/
96;200034;IPSO-200034;Electronic voting system;https://en.cryptonomist.ch/2019/07/22/naples-voting-blockchain/;This project aimed at creating an electronic voting system in symbiosis with blockchain technology in the municipality of Naples. The blockchain voting system was developed on two levels: the regulatory level respecting the privacy of users, also in light of the recent GDPR and the technological level that makes use of various existing information technologies, including the Ethereum blockchain for the immutable recording of voting data. An electronic voting system based on a public blockchain needs, as is well known, respects the privacy of the electorate vote and avoids that the vote itself can be associated with the voter.;Local;Italy;IT;Naples city hall;Local Government;General public services;General services.;Pilot;2018;†;;Public services and engagement;Governance and voting ;Blockchain;No;No;No;G2C;Governance and voting;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;X;X;https://en.cryptonomist.ch/2019/07/22/naples-voting-blockchain/
97;200035;IPSO-200035;Registration of Property Rental Contracts;https://cointelegraph.com/news/malta-to-register-all-property-rental-contracts-on-blockchain;Every rental contract for property drawn up in Malta has to be registered on the blockchain, ensuring its security. By being registered using distributed ledger technologies, the contracts are protected against tampering and only those authorised have access to them. ;National;Malta;MT;Government of Malta;Central-Government;Housing and community amenities;Housing and community amenities n.e.c.;Implemented;2019;†;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;No;G2C;Data notarisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://cointelegraph.com/news/malta-to-register-all-property-rental-contracts-on-blockchain
98;200036;IPSO-200036;Solution for welfare payments;https://blockchaintechnology-news.com/2017/11/govcoin-aims-disrupt-uk-welfare-system/;The UK government has been conducting trails with tech startup GovCoin on developing a blockchain solution for welfare payments. The trail, saw claimants use a mobile app to receive and spend their benefits payments. The transactions, with the consent of all parties, were recorded on a distributed ledger in order to help facilitate financial management. A primary feature of the GovCoin system is that claimants are paid in cryptocurrency rather than Sterling. This is an important way of gathering more data about both how the funds are spent but also about the individual doing the spending. The hope is that this data will allow for the creation of better targeted goods and services.;National;United Kingdom;UK;UK government;Central-Government;Social protection;Social protection n.e.c.;Pilot;2017;†;;Public services and engagement;Payments and international transactions ;Blockchain;No;No;No;G2C;Virtual currencies;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://blockchaintechnology-news.com/2017/11/govcoin-aims-disrupt-uk-welfare-system/
99;200037;IPSO-200037;Decentralized identity platform ;https://www.coindesk.com/markets/2019/09/09/catalonia-to-build-dlt-based-identity-platform-for-citizens/;The government of Catalonia is developing a decentralized identity platform aimed to give citizens control of their own data when interacting with online services.The IdentiCAT project qualifies and digitally empowers Catalan citizens so they may carry out activities with full assurance and security. The platform will be based on distributed ledger technology (DLT), with the Catalan government acting as the validator for the network. The government will not collect users' personal data as part of the scheme. IdentiCAT is developed to align with the 2014 EU's elDAS rules on electronic identification and trust services for electronic transactions. As such, IdentiCAT users will be able to access online services and carry out electronic transactions in any EU member state.;Regional;Spain;ES;Generalitat de Catalunya;Regional Government;General public services;General services;Pilot;2019;†;;Public services and engagement;Authentication of self-sovereign Digital ID services;Blockchain;No;No;No;G2C;Self-sovereign digital identity;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.coindesk.com/markets/2019/09/09/catalonia-to-build-dlt-based-identity-platform-for-citizens/
100;200038;IPSO-200038;Digitallization of surety policies' management process;https://www.comune.bari.it/-/pa-digitale-il-comune-di-bari-avvia-con-sia-il-primo-progetto-blockchain-in-italia-per-certificare-l-autenticita-e-il-rilascio-di-polizze-fideiussorie;The Municipality of Bari launched in collaboration with SIA, a leading European hi-tech company in the sector of payment services and infrastructures, a project based on blockchain technology that aims to digitize the management process of surety policies. This is the first experimentation in Italy of the Distributed Ledger Technology (DLT) use in the Public Administration in the field of sureties that will allow the Municipality of Bari to simplify the issuing process by banks, financial intermediaries, insurance companies and uniquely certify and irrevocable such guarantees.;Local;Italy;IT;The Municipality of Bari ;Local Government;Economic affairs;Economic affairs n.e.c;Pilot;2019;†;;Internal management;Internal management processes;Blockchain;No;No;No;G2G;Process digitalisation;Improved Public Service;;X;X;;;FALSO;FALSO;;;;;;;;FALSO;;;;https://www.comune.bari.it/-/pa-digitale-il-comune-di-bari-avvia-con-sia-il-primo-progetto-blockchain-in-italia-per-certificare-l-autenticita-e-il-rilascio-di-polizze-fideiussorie
101;200039;IPSO-200039;Ensuring the validity and integrity of European degree certificates;https://www.unica.it/unica/it/news_notizie_s1.page?contentId=NTZ121111;The University of Cagliari, ensures the validity and integrity of European degree certificates thanks to the Ethereum blockchain, making possible the authentication of certificates and official documents on the web in an open, secure and transparent way. Students will be able to guarantee the authenticity and integrity of their digital certificates to potential employers around the world, in a simple and free way. The system does not require the availability of specific apps on smartphones, or access and registration to a specific site. Everything takes place in a simple way and with free access tools.;Local;Italy;IT;The University of Cagliari;Academic-Research;Education;Post-secondary non-tertiary education.;Implemented;2018;†;;Enforcement;Certification and validation processes;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.unica.it/unica/it/news_notizie_s1.page?contentId=NTZ121111
102;200040;IPSO-200040;Payments to Madrid's buses;https://finance.yahoo.com/news/santander-brings-blockchain-payments-madrids-162918368.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cubW9iaWxlcGF5bWVudHN0b2RheS5jb20vbmV3cy9zYW50YW5kZXItZGVsaXZlcnMtYmxvY2tjaGFpbi1wYXltZW50cy10by1tYWRyaWQtcHVibGljLXRyYW5zc;In partnership with Banco Santander, blockchain certification company Vottun is developing an all-in-one system that unifies all of the cityís public transport under one app, driven by blockchain. The app enables users to register once in order to use all of the cityís public mobility services, including buses, taxis and electric vehicle charging. As well as offering a single onboarding and payment system, the app also promises to improve data security for users.;Local;Spain;ES;Municipal Transport Company of Madrid (EMT) ;Regional Government;General public services;Transport;Pilot;2019;†;;Public services and engagement;Service integration (various);Blockchain;No;No;No;G2C;Smart city;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://finance.yahoo.com/news/santander-brings-blockchain-payments-madrids-162918368.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cubW9iaWxlcGF5bWVudHN0b2RheS5jb20vbmV3cy9zYW50YW5kZXItZGVsaXZlcnMtYmxvY2tjaGFpbi1wYXltZW50cy10by1tYWRyaWQtcHVibGljLXRyYW5zc
103;200041;IPSO-200041;Enabling the transparent exchange of medical records;https://www.telegraph.co.uk/business/business-reporter/blockchain-trial-in-healthcare/;Medicalchain, a blockchain platform that enables the transparent exchange of medical records by patients and doctors, partnered with the London-based Groves Medical Group to Proof of Concept a blockchain programme in its four medical centres. The Proof of Concept allowed Medicalchain to gather feedback from doctors and patients that they will use to refine the programme before its global launch. Grovesí registered patients were be able to create a free wallet that will hold and manage access to their health records. Video consultations were also be available to patients, offering the flexibility to see their doctor at a time and place suited to their needs. The platform gives patients the option to pay for services using cryptocurrency, with users being incentivised to pay for telemedicine services with Medicalchainís MedTokens. ;Local;United Kingdom;UK;Groves Medical Group;Private sector;Health;Hospital services.;Pilot;2018;†;;Public services and engagement;Data Sharing Management;Blockchain;No;No;No;G2C;Data access and reuse;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;X;https://www.telegraph.co.uk/business/business-reporter/blockchain-trial-in-healthcare/
104;200042;IPSO-200042;Blockchain-based payment solutions;https://www.coindesk.com/markets/2018/02/20/regional-government-in-russia-to-test-blockchain-payments/;Vnesheconombank (VEB), the Russian state-owned development bank, made a deal with the regional government of Kaliningrad†to Proof of Concept a new blockchain-based payment system. Technology can improve the quality of social services by increasing transparency and cutting costs.;Regional;Russia;RU;The regional government of Kaliningrad†;Regional Government;Social protection;Social protection n.e.c.;Pilot;2018;†;;Public services and engagement;Payments and international transactions ;Blockchain;No;No;No;G2C;Virtual currencies;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.coindesk.com/markets/2018/02/20/regional-government-in-russia-to-test-blockchain-payments/
105;200043;IPSO-200043;Validation of judicial expenses incurred during investigations;https://cointelegraph.com/news/french-cybercrime-division-uses-smart-contacts-on-tezos-blockchain?utm_source=Telegram&utm_medium=social;The French Armies and Gendarmerieís Information and Public Relations Center has validated judicial expenses incurred during investigations on the Tezos (XTZ) Blockchain. The Gendarmerieís cybercrime division (C3N) used the system to buy cryptocurrency from Europol-allocated funds and cover its operational costs with those assets. Using a blockchain-based system reportedly simplifies administration and procedures, and ensures the ability to audit and traceability of funds. The smart contract that regulates the functioning of the system only interacts with authorized individuals and enables C3N to justify expenses without disclosing operational activities.;National;France;FR;The Gendarmerieís cybercrime division (C3N);Central-Government;Public order and safety;Police Services;Pilot;2019;†;;Public services and engagement;Payments and international transactions ;Blockchain;No;No;No;G2G;Virtual currencies;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;;X;X;X;X;X;Open government capabilities;X;;;https://cointelegraph.com/news/french-cybercrime-division-uses-smart-contacts-on-tezos-blockchain?utm_source=Telegram&utm_medium=social
106;200044;IPSO-200044;Blockchain-Based Training Certificates;https://cointelegraph.com/news/bavarian-government-to-issue-blockchain-based-training-certificates;The Chamber of Industry and Commerce of Munich and Upper Bavaria, Germany, issued its first blockchain-enabled training certificates in cooperation with the Digital Ministry. The Digital Ministry created a web application that enables companies to verify the authenticity of certificates using blockchain-based hash values. Applicants can send the key with a PDF file to the companies, after which a file upload of the key on the web application purportedly allows immediate verification.;Regional;Germany;DE;The Chamber of Industry and Commerce of Munich and Upper Bavaria;Regional Government;Education;Education not definable by level.;Pilot;2019;†;;Enforcement;Certification and validation processes;Blockchain;No;No;No;G2B;Process digitalisation;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;https://cointelegraph.com/news/bavarian-government-to-issue-blockchain-based-training-certificates
107;200045;IPSO-200045;Copyright Management;https://cointelegraph.com/news/italian-copyright-authority-and-algorand-develop-blockchain-ecosystem-for-copyright-management;The Italian Society of Authors and Publishers (SIAE) has teamed up with Algorand to develop a new ecosystem for copyright management, based on Algorandís recently launched blockchain platform. Algorand uses a pure Proof-of-Stake (PoS) protocol that guarantees decentralization, scalability and security, making it particularly suitable for handling the swarm of metadata and transactions necessary in copyright management. Both Algorand and SIAE are confident that in the near future, blockchain technology will become the cornerstone of the industry. ;National;Italy;IT;The Italian Society of Authors and Publishers (SIAE);Central-Government;Economic affairs;Cultural services.;Pilot;2019;†;;Adjudication;Managing Copyright and IPR ;Blockchain;No;No;No;G2B;Reward systems;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://cointelegraph.com/news/italian-copyright-authority-and-algorand-develop-blockchain-ecosystem-for-copyright-management
108;200046;IPSO-200046;Finding Waste Heat Spots;https://cointelegraph.com/news/austrian-government-backed-project-will-use-blockchain-to-find-waste-heat-spots;The Austrian government is backing a project in the cities of Vienna and Graz that would let citizens submit data about industrial waste heat spots for district heating, receiving tokens as reward. The project, called HotCityís, is a proof-of-concept that involves creating a gamification system to crowdsource hotspots around the city and channel them to provide public heating. Vienna hosts one of Europeís largest district heating networks, which provides hot water through centralized heating lines in the city. One of the benefits of such a system is the ability to use waste heat from industrial processes to provide consumers with energy. This has an obvious impact on energy efficiency and CO2 emissions.;National;Austria;AT;Austrian Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation, and Technology;Central-Government;Environmental protection;Waste management.;Pilot;2020;†;;Public services and engagement;Payments and international transactions ;Blockchain;No;No;No;G2C;Reward systems;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://cointelegraph.com/news/austrian-government-backed-project-will-use-blockchain-to-find-waste-heat-spots
109;200047;IPSO-200047;Health Certificates To Address Lockdowns;https://www.the-blockchain.com/2020/05/05/covid-19-swiss-company-Proof of Concepting-blockchain-based-health-certificates-to-address-lockdowns/;The project, called Health n Go sprouted from a blockchain-driven ticketing company called TIXnGO,† who repurposed their existing blockchain-based technology to create Health n Go Health n Go is capable of securely distributing health certificates at scale and in line with government and corporate needs in managing the pandemic. Health n Go is designed to safely deliver digital health certificates from a trusted authority such as a doctor or health organisation. Each time a health certificate is issued in the platform, a unique, encrypted and completely traceable identity is attached to it. Individuals can keep their health certificates on a specific wallet on their smartphone, which can be shown on request and the QR code read by a scanner.;National;Switzerland;CH;TIXnGO;Private sector;Health;Public health services.;Pilot;2020;†;;Enforcement;Certification and validation processes;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.the-blockchain.com/2020/05/05/covid-19-swiss-company-Proof of Concepting-blockchain-based-health-certificates-to-address-lockdowns/
110;200048;IPSO-200048;Medical Data Management;https://cointelegraph.com/news/cyprus-hospital-to-deploy-dlt-based-medical-data-management;VeChain co-developed a blockchain-based medical data management platform in partnership with digital healthcare solution firm I-Dante. The platform, dubbed ìThe E-NewHealthLifeî, is being deployed at the Mediterranean Hospital of Cyprus. The first phase of the platformís rollout will see it used in the emergency department of the Cyprus hospital, allowing patients to identify themselves, check waiting lists, and autonomously manage their medical records from their mobile phone.;National;Cyprus;CY;VeChain;Private sector;Health;Public health services.;In development;2020;†;;Public services and engagement;Data Sharing Management;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://cointelegraph.com/news/cyprus-hospital-to-deploy-dlt-based-medical-data-management
111;200049;IPSO-200049;Tax Payments;https://cointelegraph.com/news/city-of-zermatt-switzerland-now-accepts-tax-payments-in-bitcoin;The municipality of Zermatt is the second location in Switzerland where taxpayers are officially allowed to pay their taxes in Bitcoin. In order to unlock the new tax payment option, the authorities of the Zermatt have partnered with Switzerlandís major crypto financial services company Bitcoin Suisse being now able to convert taxpayersí Bitcoin into Swiss francs through Bitcoin Suisse which then transfers the amount in fiat currency to the municipalityís bank account. The new tax payment option aims to meet increased demand for Bitcoin-based tax payments.;Local;Switzerland;CH;The city council of Zermatt ;Local Government;General public services;General services;Implemented;2020;†;;Public services and engagement;Payments and international transactions ;Blockchain;No;No;No;G2C;Virtual currencies;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;https://cointelegraph.com/news/city-of-zermatt-switzerland-now-accepts-tax-payments-in-bitcoin
112;200050;IPSO-200050;Blockchain-based union card;https://en.cryptonomist.ch/2020/02/21/trade-unions-blockchain-card-italy/;The Italian trade union Fim Cisl is testing a blockchain-based union card. It is a tokenized digital card, manageable through apps and transactions via wallets, based on the Ethereum blockchain. Its objective is to guarantee the univocal subscription of the Fim Cisl trade union card, in order to avoid any attempt to attack privacy and personal data tampering. This allows keeping track of the number of members in a certified way and to have a useful foundation to open a direct and continuous dialogue between union and members, to share announcements, information and new services in a safe and certified way. ;National;Italy;IT;Fim Cisl;Non-governmental;Social protection;General economic, commercial and labour affair;Pilot;2020;†;;Enforcement;Certification and validation processes;Blockchain;No;No;No;G2G;Process digitalisation;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;X;X;Open government capabilities;X;;;https://en.cryptonomist.ch/2020/02/21/trade-unions-blockchain-card-italy/
113;200051;IPSO-200051;Traceability of meat and milk;https://startupitalia.eu/65172-20200210-agroalimentare-la-lombardia-lancia-la-sua-blockchain;Lombardy Region launched its own blockchain for the traceability of agri-food products in order to meet the needs of consumers and offer a new communication tool to companies. Consumers who find meat and milk products in supermarkets can trace the history of the package simply by scanning the QRcode printed on the label. This way they can have access to information pages containing public administration and companies data. For example, for a liter of milk it will be possible to know the results of the inspections of the regional health inspectors at the farms (use of drugs, health of the animals, hygiene of the structures, etc.) and at the processing plants. Not to mention the controls of third-party companies regarding, for example, animal welfare.;Regional;Italy;IT;Regione Lombardia per la trasformazione digitale;Regional Government;Economic affairs;General economic, commercial and labour affair;Pilot;2020;†;;Public services and engagement;Tracking of goods and assets along the supply chain ;Blockchain;No;No;No;G2C;Tracking of goods, supply chain, iot;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://startupitalia.eu/65172-20200210-agroalimentare-la-lombardia-lancia-la-sua-blockchain
114;200052;IPSO-200052;Digital baccalaureate diplomas;https://www.blockchain4innovation.it/esperti/nascono-i-primi-diplomi-di-maturita-digitali-certificati-dalla-tecnologia-blockchain/;This project is an initiative Villa Flaminia international high schools in collaboration with EY, and consists in the expedition of digital baccalaureate diplomas certified by blockchain technology, the diplomas are made on the Ethereum public platform. With this solution, the tracking of the entire training process of the student can be notarized and shared with all those who may need it, also in relation to the courses and subjects followed.;Local;Italy;IT;Villa Flaminia international high schools;Academic-Research;Education;Secondary education.;Pilot;2020;†;;Enforcement;Certification and validation processes;Blockchain;No;No;No;G2C;Skill assessment;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;https://www.blockchain4innovation.it/esperti/nascono-i-primi-diplomi-di-maturita-digitali-certificati-dalla-tecnologia-blockchain/
115;200053;IPSO-200053;Kickstarting the Financial Lives of Refugees;https://www.technologyreview.com/2017/09/05/149330/how-blockchain-is-kickstarting-the-financial-lives-of-refugees/;For two years the Finnish Immigration Service has been giving asylum seekers who donít have bank accounts prepaid Mastercards instead of the traditional cash disbursements, and today the program has several thousand active cardholders. Developed by the Helsinki-based startup MONI, the card is also linked to a unique digital identity stored on a blockchain. This technology helps unbanked asylum seekers advance because what is typically keeping them from getting bank accounts and jobs is that they are missing a form of strongly authenticated identity. MONIís technology uses one of a number of public blockchains as the means of transferring valueóbut in a way that to the users seems like using a debit card. A cardholder can pay for things at Mastercard terminals, or enter a number into a Web form to make payments online. MONI takes care of the cryptographic handshake necessary to execute the digital currency transaction as well as the conversion from digital currency back to fiat currency.;National;Finland;FI;The Finnish Immigration Service;Central-Government;Social protection;Social protection n.e.c.;Implemented;2017;†;;Public services and engagement;Payments and international transactions ;Blockchain;No;No;No;G2C;Virtual currencies;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;https://www.technologyreview.com/2017/09/05/149330/how-blockchain-is-kickstarting-the-financial-lives-of-refugees/
116;200054;IPSO-200054;Online services for managing personnel salary accounts;http://www.sunfishproject.eu/sunfish/use-cases/;This use case is part of the EU H2020 project Sunfish, this project has developed and integrated software enabling secure cloud federation as required by the Public Sector. This use case is a demonstrator for the SUNFISH platform so as to enable the processing of sensitive data and personally identifiable information hosted in the cloud and shared between the Italian Ministry of Economy and Finance (MEF) and the Ministry of Interior (MIN). It demonstrates the capability of sharing resources from different private clouds, boosting the efficiency in the utilization of both infrastructures and of the overall process. For this, it was used a Federation-as-a-Service platform and a blockchain-empowered Service Ledger infrastructure.;National;Italy;IT;The Italian Ministry of Economy and Finance (MEF);Central-Government;General public services;Transfers of a general character between different levels of government.;Pilot;2018;†;;Internal management;Internal management processes;Blockchain;No;No;No;G2G;Disintermediation and decentralised networks;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;X;X;X;Open government capabilities;X;;;http://www.sunfishproject.eu/sunfish/use-cases/
117;200055;IPSO-200055;Use of Public Cloud PaaS to host SaaS and/or to integrate with commercial SaaS solutions;http://www.sunfishproject.eu/sunfish/use-cases/;This use case is part of the EU H2020 project Sunfish, this project has developed and integrated software enabling secure cloud federation as required by the Public Sector. The Maltese Ministry for Finance has been leading the innovation of the Countryís Public Sector with the goal of easing citizensí interaction with the Government. The Taxation Department requires taxpayers, employers, banks and SMEs, to submit information to the Office of the Commissioner for Revenue. This use case enables the use of public cloud Platform-as-a-Service (PaaS) offerings to deploy applications which collect data from the taxpayers and performs required calculations and validations while ensuring compliance with the secrecy, privacy and data protection legislations and regulations. It also allows for the use of federated systems between the MFIN application on the public cloud PaaS and other commercial SaaS solutions providing services such as payroll etc.;National;Malta;MT;Ministry of Finance of Malta (MFIN);Central-Government;General public services;General services;Pilot;2018;†;;Public services and engagement;Data Sharing Management;Blockchain;Yes;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;http://www.sunfishproject.eu/sunfish/use-cases/
118;200056;IPSO-200056;Organised Crime Unit: Secure Cloud Storage for Data;http://www.sunfishproject.eu/sunfish/use-cases/;This use case is part of the EU H2020 project Sunfish, this project has developed and integrated software enabling secure cloud federation as required by the Public Sector. South East Regional Cyber Crime Unit (SEROCU) is one of the nine Regional Cyber Crime Unit (ROCU) operating across the UK. Besides its regional role, it collaborates on a national level with major crime units, all ROCUs and the National Cyber Crime Unit, to prosecute offenders based in Europe and beyond. The storage of such data must be localised on the Unitís premises but at the same time, each unit must ensure access, in a regulated manner and with different levels of accessibility, to all other ROCUs while investigations are in process. Sunfish Platform offers a state-of-the-art Secure Multiparty Computation service, based on advanced cryptography techniques, which ensures that a functionality can be carried out on privacy sensitive data without leaking any private bit.  This Proof of Concept is a proof-of-concept and a first-time application to cyber-crime evidences of privacy-preserving cross-Cloud searchable data.;National;United Kingdom;UK;South East Regional Cyber Crime Unit (SEROCU);Regional Government;Public order and safety;Police Services;Pilot;2018;†;;Public services and engagement;Data Sharing Management;Blockchain;No;No;No;G2G;Data access and reuse;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;X;X;X;X;X;;;Open government capabilities;X;;;http://www.sunfishproject.eu/sunfish/use-cases/
